,tweet_id,favorites,retweet_count
0,666020888022790149,2494,487
1,666029285002620928,125,46
2,666033412701032449,121,43
3,666044226329800704,285,135
4,666049248165822465,103,41
5,666050758794694657,129,56
6,666051853826850816,1178,814
7,666055525042405380,420,229
8,666057090499244032,281,133
9,666058600524156928,108,56
10,666063827256086533,457,205
11,666071193221509120,140,55
12,666073100786774016,309,153
13,666082916733198337,108,42
14,666094000022159362,158,69
15,666099513787052032,147,63
16,666102155909144576,75,11
17,666104133288665088,13860,6235
18,666268910803644416,99,32
19,666273097616637952,166,75
20,666287406224695296,141,63
21,666293911632134144,481,336
22,666337882303524864,189,88
23,666345417576210432,282,130
24,666353288456101888,211,71
25,666362758909284353,751,543
26,666373753744588802,179,86
27,666396247373291520,161,81
28,666407126856765440,103,37
29,666411507551481857,426,316
30,666418789513326592,118,44
31,666421158376562688,309,111
32,666428276349472768,159,81
33,666430724426358785,306,188
34,666435652385423360,159,52
35,666437273139982337,119,45
36,666447344410484738,99,19
37,666454714377183233,504,205
38,666644823164719104,226,77
39,666649482315059201,1096,603
40,666691418707132416,185,46
41,666701168228331520,423,213
42,666739327293083650,229,64
43,666776908487630848,340,171
44,666781792255496192,376,186
45,666786068205871104,740,477
46,666804364988780544,231,91
47,666817836334096384,505,245
48,666826780179869698,248,93
49,666835007768551424,208,79
50,666837028449972224,801,544
51,666983947667116034,2510,965
52,666996132027977728,240,91
53,667012601033924608,440,217
54,667044094246576128,182,49
55,667062181243039745,212,52
56,667065535570550784,163,46
57,667073648344346624,394,122
58,667090893657276420,329,124
59,667119796878725120,324,127
60,667138269671505920,4540,2165
61,667152164079423490,47000,16728
62,667160273090932737,253,61
63,667165590075940865,2641,1121
64,667171260800061440,218,85
65,667174963120574464,237,80
66,667176164155375616,604,455
67,667177989038297088,188,55
68,667182792070062081,14156,6092
69,667188689915760640,733,408
70,667192066997374976,380,102
71,667200525029539841,603,257
72,667211855547486208,484,241
73,667369227918143488,359,161
74,667393430834667520,190,53
75,667405339315146752,458,218
76,667435689202614272,303,83
77,667437278097252352,444,232
78,667443425659232256,770,567
79,667453023279554560,306,88
80,667455448082227200,188,59
81,667470559035432960,251,97
82,667491009379606528,525,223
83,667495797102141441,510,263
84,667502640335572993,528,216
85,667509364010450944,6709,2097
86,667517642048163840,366,189
87,667524857454854144,1673,1095
88,667530908589760512,459,234
89,667534815156183040,808,524
90,667538891197542400,202,65
91,667544320556335104,852,520
92,667546741521195010,333,121
93,667549055577362432,5727,2255
94,667550882905632768,0,32
95,667550904950915073,0,34
96,667724302356258817,477,315
97,667728196545200128,376,147
98,667766675769573376,439,213
99,667773195014021121,234,55
100,667782464991965184,404,244
101,667793409583771648,693,329
102,667801013445750784,326,96
103,667806454573760512,1046,488
104,667832474953625600,290,61
105,667861340749471744,237,76
106,667866724293877760,2984,1020
107,667873844930215936,620,398
108,667878741721415682,387,116
109,667885044254572545,808,476
110,667886921285246976,1870,1083
111,667902449697558528,842,373
112,667911425562669056,487,302
113,667915453470232577,207,55
114,667924896115245057,297,113
115,667937095915278337,1246,779
116,668113020489474048,662,236
117,668142349051129856,567,280
118,668154635664932864,488,312
119,668171859951755264,484,192
120,668190681446379520,654,195
121,668204964695683073,553,193
122,668221241640230912,509,193
123,668226093875376128,297,102
124,668237644992782336,6154,2828
125,668248472370458624,974,480
126,668256321989451776,1296,607
127,668268907921326080,549,233
128,668274247790391296,815,228
129,668286279830867968,501,135
130,668291999406125056,240,29
131,668297328638447616,614,295
132,668466899341221888,877,515
133,668480044826800133,455,146
134,668484198282485761,420,233
135,668496999348633600,409,130
136,668507509523615744,321,105
137,668528771708952576,455,224
138,668537837512433665,249,73
139,668542336805281792,449,215
140,668544745690562560,509,220
141,668567822092664832,242,52
142,668614819948453888,611,313
143,668620235289837568,199,41
144,668623201287675904,1413,761
145,668625577880875008,384,131
146,668627278264475648,315,114
147,668631377374486528,708,314
148,668633411083464705,2787,1624
149,668636665813057536,1032,485
150,668641109086707712,1073,537
151,668643542311546881,871,529
152,668645506898350081,883,523
153,668655139528511488,527,219
154,668779399630725120,705,373
155,668815180734689280,570,267
156,668826086256599040,430,136
157,668852170888998912,450,166
158,668872652652679168,520,300
159,668892474547511297,395,152
160,668902994700836864,316,102
161,668932921458302977,262,58
162,668955713004314625,278,72
163,668960084974809088,698,236
164,668975677807423489,1298,577
165,668979806671884288,794,350
166,668981893510119424,533,304
167,668986018524233728,551,169
168,668988183816871936,892,466
169,668989615043424256,677,329
170,668992363537309700,740,345
171,668994913074286592,439,227
172,669000397445533696,20797,6353
173,669006782128353280,574,249
174,669015743032369152,736,374
175,669037058363662336,649,311
176,669203728096960512,999,474
177,669214165781868544,436,165
178,669216679721873412,1187,404
179,669324657376567296,495,207
180,669327207240699904,572,115
181,669328503091937280,1015,419
182,669351434509529089,435,185
183,669353438988365824,638,263
184,669354382627049472,2693,1277
185,669359674819481600,369,122
186,669363888236994561,613,224
187,669367896104181761,458,153
188,669371483794317312,496,179
189,669375718304980992,1323,728
190,669393256313184256,364,75
191,669564461267722241,384,123
192,669567591774625800,234,55
193,669571471778410496,1583,1015
194,669573570759163904,432,139
195,669583744538451968,1486,923
196,669597912108789760,512,151
197,669603084620980224,944,364
198,669625907762618368,3510,1812
199,669661792646373376,799,433
200,669680153564442624,662,288
201,669682095984410625,347,134
202,669683899023405056,387,111
203,669749430875258880,265,65
204,669753178989142016,805,398
205,669923323644657664,232,55
206,669926384437997569,371,101
207,669942763794931712,500,161
208,669970042633789440,302,59
209,669972011175813120,445,159
210,669993076832759809,325,84
211,670003130994700288,332,92
212,670037189829525505,585,273
213,670040295598354432,751,110
214,670046952931721218,643,173
215,670055038660800512,667,332
216,670061506722140161,763,339
217,670069087419133954,623,237
218,670073503555706880,1570,784
219,670079681849372674,2214,1227
220,670086499208155136,693,250
221,670093938074779648,1020,333
222,670290420111441920,698,285
223,670303360680108032,427,130
224,670319130621435904,3857,1223
225,670338931251150849,421,110
226,670361874861563904,327,66
227,670374371102445568,745,269
228,670385711116361728,552,204
229,670403879788544000,431,155
230,670408998013820928,554,223
231,670411370698022913,2009,889
232,670417414769758208,567,316
233,670420569653809152,626,314
234,670421925039075328,1297,628
235,670427002554466305,521,162
236,670428280563085312,1368,621
237,670433248821026816,327,114
238,670434127938719744,1392,648
239,670435821946826752,1048,513
240,670442337873600512,640,199
241,670444955656130560,6698,1979
242,670449342516494336,1188,657
243,670452855871037440,546,204
244,670465786746662913,970,551
245,670468609693655041,349,86
246,670474236058800128,1507,745
247,670668383499735048,10656,5017
248,670676092097810432,245,42
249,670679630144274432,745,279
250,670691627984359425,589,244
251,670704688707301377,766,372
252,670717338665226240,1199,496
253,670727704916926465,820,360
254,670733412878163972,957,511
255,670755717859713024,435,109
256,670764103623966721,1063,417
257,670778058496974848,325,72
258,670780561024270336,783,287
259,670782429121134593,1549,769
260,670783437142401025,817,389
261,670786190031921152,600,201
262,670789397210615808,655,243
263,670792680469889025,823,277
264,670797304698376195,735,238
265,670803562457407488,340,87
266,670804601705242624,1941,958
267,670807719151067136,1150,492
268,670811965569282048,1120,271
269,670815497391357952,3157,1535
270,670822709593571328,607,94
271,670823764196741120,769,188
272,670826280409919488,5509,4039
273,670832455012716544,728,217
274,670833812859932673,441,123
275,670838202509447168,1100,693
276,670840546554966016,589,193
277,670842764863651840,24495,8681
278,670995969505435648,1102,292
279,671109016219725825,1135,439
280,671115716440031232,1363,778
281,671122204919246848,3477,2510
282,671134062904504320,744,196
283,671138694582165504,916,401
284,671141549288370177,1153,658
285,671147085991960577,667,224
286,671151324042559489,665,153
287,671154572044468225,709,218
288,671159727754231808,369,82
289,671163268581498880,1650,1103
290,671166507850801152,866,350
291,671182547775299584,1113,344
292,671186162933985280,734,210
293,671347597085433856,953,426
294,671355857343524864,480,115
295,671357843010908160,397,148
296,671362598324076544,1099,295
297,671390180817915904,1429,737
298,671485057807351808,759,232
299,671486386088865792,576,201
300,671488513339211776,1008,467
301,671497587707535361,908,444
302,671504605491109889,6978,3536
303,671511350426865664,1598,718
304,671518598289059840,951,292
305,671520732782923777,1396,529
306,671528761649688577,838,263
307,671533943490011136,1012,581
308,671536543010570240,1163,405
309,671538301157904385,924,398
310,671542985629241344,1088,563
311,671544874165002241,1967,1045
312,671547767500775424,1345,600
313,671561002136281088,12756,7218
314,671729906628341761,8472,4342
315,671735591348891648,1436,752
316,671743150407421952,742,235
317,671744970634719232,1350,775
318,671763349865160704,1672,918
319,671768281401958400,1185,512
320,671789708968640512,7036,3485
321,671855973984772097,903,440
322,671866342182637568,1109,494
323,671874878652489728,1242,555
324,671879137494245376,1410,676
325,671882082306625538,3450,1380
326,671891728106971137,1326,576
327,671896809300709376,8471,4158
328,672068090318987265,1286,518
329,672082170312290304,935,366
330,672095186491711488,1000,371
331,672125275208069120,2393,1144
332,672139350159835138,1744,702
333,672160042234327040,871,357
334,672169685991993344,1011,369
335,672205392827572224,2256,1158
336,672222792075620352,779,214
337,672231046314901505,1824,1011
338,672239279297454080,891,322
339,672245253877968896,682,160
340,672248013293752320,1712,607
341,672254177670729728,1424,743
342,672256522047614977,2801,1545
343,672264251789176834,1135,339
344,672267570918129665,1491,618
345,672272411274932228,6430,3374
346,672466075045466113,1351,536
347,672475084225949696,1421,700
348,672481316919734272,716,125
349,672482722825261057,1129,599
350,672488522314567680,1108,440
351,672523490734551040,633,172
352,672538107540070400,1027,365
353,672591271085670400,720,184
354,672591762242805761,947,335
355,672594978741354496,1322,608
356,672604026190569472,1105,401
357,672609152938721280,1107,388
358,672614745925664768,1217,586
359,672622327801233409,1296,491
360,672640509974827008,973,325
361,672828477930868736,1252,495
362,672834301050937345,1307,569
363,672877615439593473,1029,364
364,672884426393653248,1541,838
365,672898206762672129,904,428
366,672902681409806336,1358,509
367,672964561327235073,1411,640
368,672968025906282496,1309,548
369,672970152493887488,941,360
370,672975131468300288,1671,905
371,672980819271634944,1819,1014
372,672984142909456390,1251,546
373,672988786805112832,981,295
374,672995267319328768,948,295
375,672997845381865473,1967,726
376,673148804208660480,1679,633
377,673213039743795200,2241,844
378,673240798075449344,1416,736
379,673270968295534593,1059,368
380,673295268553605120,7509,3170
381,673317986296586240,875,261
382,673320132811366400,13437,7952
383,673342308415348736,1268,588
384,673343217010679808,969,272
385,673345638550134785,2499,1274
386,673350198937153538,745,216
387,673352124999274496,1652,538
388,673355879178194945,1488,575
389,673359818736984064,1449,674
390,673363615379013632,1021,308
391,673576835670777856,1386,564
392,673580926094458881,834,274
393,673583129559498752,1183,366
394,673612854080196609,1595,727
395,673636718965334016,1100,361
396,673656262056419329,719,244
397,673662677122719744,1252,366
398,673680198160809984,1373,472
399,673686845050527744,1436,444
400,673688752737402881,1267,500
401,673689733134946305,1736,657
402,673697980713705472,3800,1956
403,673700254269775872,1440,570
404,673705679337693185,1249,406
405,673707060090052608,1098,395
406,673708611235921920,1080,290
407,673709992831262724,847,277
408,673711475735838725,1040,302
409,673715861853720576,3542,2083
410,673887867907739649,929,254
411,673906403526995968,3196,1636
412,673919437611909120,1170,375
413,673956914389192708,1948,965
414,674008982932058114,1200,357
415,674014384960745472,1563,645
416,674019345211760640,1130,302
417,674024893172875264,1788,1228
418,674036086168010753,849,213
419,674038233588723717,1104,417
420,674042553264685056,724,130
421,674045139690631169,1424,645
422,674051556661161984,1447,492
423,674053186244734976,3325,1311
424,674063288070742018,6373,2224
425,674075285688614912,986,292
426,674082852460433408,756,172
427,674255168825880576,1468,557
428,674262580978937856,1304,459
429,674265582246694913,1657,856
430,674269164442398721,909,227
431,674271431610523648,1577,738
432,674291837063053312,14770,5938
433,674318007229923329,1425,521
434,674372068062928900,851,320
435,674394782723014656,1513,581
436,674410619106390016,1203,472
437,674416750885273600,681,142
438,674422304705744896,1441,543
439,674436901579923456,1117,396
440,674447403907457024,1065,357
441,674468880899788800,6250,2062
442,674632714662858753,1510,584
443,674638615994089473,1689,589
444,674644256330530816,1026,270
445,674646392044941312,1446,500
446,674664755118911488,924,257
447,674670581682434048,1607,659
448,674690135443775488,1149,470
449,674737130913071104,647,94
450,674739953134403584,1112,395
451,674743008475090944,1411,559
452,674752233200820224,1465,472
453,674754018082705410,1367,453
454,674764817387900928,790,242
455,674767892831932416,1834,797
456,674774481756377088,1124,480
457,674781762103414784,2010,1216
458,674788554665512960,819,211
459,674790488185167872,1113,252
460,674793399141146624,2520,1097
461,674800520222154752,3036,871
462,674805413498527744,863,359
463,674999807681908736,2261,1113
464,675003128568291329,1569,477
465,675006312288268288,995,231
466,675015141583413248,2722,1207
467,675047298674663426,1067,333
468,675109292475830276,2813,1148
469,675111688094527488,971,258
470,675113801096802304,1960,797
471,675135153782571009,1305,500
472,675145476954566656,2148,916
473,675146535592706048,1201,316
474,675147105808306176,946,240
475,675149409102012420,3759,1706
476,675153376133427200,6323,2628
477,675166823650848770,3637,1631
478,675334060156301312,2794,1310
479,675349384339542016,3949,2298
480,675354435921575936,32970,17258
481,675362609739206656,1057,236
482,675372240448454658,1700,521
483,675432746517426176,1535,576
484,675483430902214656,1847,991
485,675489971617296384,1308,612
486,675497103322386432,3167,1320
487,675501075957489664,17296,5920
488,675517828909424640,1299,468
489,675522403582218240,1049,294
490,675531475945709568,1195,390
491,675534494439489536,1836,426
492,675706639471788032,649,100
493,675707330206547968,1997,703
494,675710890956750848,1908,833
495,675740360753160193,1180,353
496,675781562965868544,1641,484
497,675798442703122432,10361,3454
498,675820929667219457,1058,237
499,675822767435051008,1538,549
500,675845657354215424,2298,901
501,675853064436391936,2714,1323
502,675870721063669760,1654,581
503,675878199931371520,4213,1423
504,675888385639251968,2410,976
505,675891555769696257,2154,878
506,675898130735476737,1640,584
507,676089483918516224,1330,445
508,676098748976615425,3043,1457
509,676101918813499392,2845,1189
510,676146341966438401,1936,670
511,676191832485810177,2306,1056
512,676215927814406144,1764,595
513,676219687039057920,76498,31640
514,676237365392908289,1237,297
515,676263575653122048,2104,562
516,676430933382295552,1415,352
517,676440007570247681,1739,681
518,676470639084101634,11758,4779
519,676496375194980353,1540,542
520,676533798876651520,1899,566
521,676575501977128964,2625,1140
522,676582956622721024,1216,287
523,676588346097852417,2348,806
524,676603393314578432,1177,389
525,676606785097199616,1909,448
526,676613908052996102,1098,203
527,676617503762681856,2943,1002
528,676776431406465024,5080,2065
529,676811746707918848,1439,433
530,676819651066732545,1833,684
531,676821958043033607,23400,15967
532,676864501615042560,2130,728
533,676897532954456065,2287,733
534,676936541936185344,12915,5016
535,676942428000112642,2110,772
536,676946864479084545,1746,383
537,676948236477857792,2212,889
538,676949632774234114,1331,406
539,676957860086095872,2261,827
540,676975532580409345,2831,1105
541,677187300187611136,2787,946
542,677228873407442944,3598,1678
543,677269281705472000,2032,723
544,677301033169788928,1257,418
545,677314812125323265,1672,544
546,677328882937298944,3694,1544
547,677331501395156992,1115,241
548,677334615166730240,1374,296
549,677530072887205888,1091,235
550,677547928504967168,7045,3755
551,677557565589463040,2486,1185
552,677565715327688705,1323,470
553,677573743309385728,2171,737
554,677644091929329666,1892,820
555,677662372920729601,1975,989
556,677673981332312066,3391,1543
557,677687604918272002,2530,869
558,677698403548192770,1256,331
559,677700003327029250,3457,1488
560,677716515794329600,3125,994
561,677895101218201600,4927,2156
562,677918531514703872,1380,426
563,678021115718029313,14016,6522
564,678255464182861824,1624,378
565,678278586130948096,11671,6263
566,678334497360859136,1329,265
567,678341075375947776,1764,550
568,678380236862578688,2493,939
569,678389028614488064,1912,435
570,678396796259975168,1623,431
571,678399652199309312,80908,32749
572,678410210315247616,4329,1876
573,678424312106393600,5536,2615
574,678446151570427904,4093,1615
575,678643457146150913,2092,437
576,678675843183484930,2925,1519
577,678740035362037760,3845,1735
578,678755239630127104,7292,3392
579,678764513869611008,1678,492
580,678767140346941444,3621,1403
581,678774928607469569,2872,946
582,678798276842360832,3538,1211
583,678800283649069056,2641,934
584,678969228704284672,1686,480
585,678991772295516161,2368,1214
586,679047485189439488,2300,696
587,679062614270468097,17437,8440
588,679111216690831360,6115,2645
589,679132435750195208,3040,1198
590,679148763231985668,2841,1066
591,679158373988876288,21917,8336
592,679462823135686656,32503,19475
593,679475951516934144,2140,658
594,679503373272485890,3221,1522
595,679511351870550016,3456,1309
596,679527802031484928,2703,747
597,679530280114372609,4892,2152
598,679722016581222400,1695,482
599,679729593985699840,2218,852
600,679736210798047232,2147,822
601,679777920601223168,3166,1150
602,679828447187857408,37214,14501
603,679844490799091713,2430,788
604,679854723806179328,2934,1275
605,679862121895714818,2511,648
606,679877062409191424,2024,673
607,680070545539371008,2650,907
608,680085611152338944,13131,9269
609,680100725817409536,3672,1424
610,680115823365742593,2786,935
611,680130881361686529,2346,981
612,680145970311643136,3707,1807
613,680161097740095489,2387,763
614,680176173301628928,3999,1615
615,680191257256136705,2204,522
616,680206703334408192,2913,1220
617,680221482581123072,1501,303
618,680440374763077632,1494,523
619,680473011644985345,2618,767
620,680494726643068929,1768,503
621,680497766108381184,4354,1981
622,680583894916304897,3722,1387
623,680609293079592961,2707,733
624,680798457301471234,2927,1077
625,680801747103793152,2438,847
626,680836378243002368,3553,1373
627,680889648562991104,1811,379
628,680913438424612864,2469,642
629,680934982542561280,2132,450
630,680940246314430465,3295,1087
631,680959110691590145,4698,2069
632,680970795137544192,2487,687
633,681193455364796417,3807,1539
634,681231109724700672,2472,505
635,681242418453299201,1531,557
636,681261549936340994,1498,286
637,681281657291280384,3307,1138
638,681297372102656000,3297,997
639,681302363064414209,4063,1886
640,681320187870711809,2721,776
641,681339448655802368,9559,4226
642,681523177663676416,14710,6002
643,681579835668455424,3646,1348
644,681610798867845120,1965,489
645,681654059175129088,2715,963
646,681679526984871937,1817,464
647,681694085539872773,13147,4213
648,681891461017812993,2540,849
649,681981167097122816,2885,1073
650,682003177596559360,3232,1584
651,682032003584274432,6775,2095
652,682047327939461121,3284,993
653,682059653698686977,5090,1755
654,682242692827447297,3350,1219
655,682259524040966145,4277,1254
656,682303737705140231,3152,1036
657,682389078323662849,1711,483
658,682393905736888321,2299,705
659,682406705142087680,7797,1825
660,682429480204398592,3528,1205
661,682638830361513985,2118,628
662,682662431982772225,3141,1125
663,682697186228989953,1349,373
664,682750546109968385,1563,455
665,682788441537560576,2541,1154
666,682962037429899265,37994,17289
667,683030066213818368,2217,760
668,683078886620553216,2039,581
669,683098815881154561,2228,684
670,683111407806746624,3500,941
671,683142553609318400,2970,1081
672,683357973142474752,3014,966
673,683391852557561860,7856,2476
674,683449695444799489,4011,1667
675,683462770029932544,2497,699
676,683481228088049664,2724,1033
677,683498322573824003,3264,1000
678,683742671509258241,6686,3450
679,683773439333797890,3437,1403
680,683828599284170753,2888,1103
681,683834909291606017,2706,1150
682,683849932751646720,2683,1005
683,683852578183077888,1983,363
684,683857920510050305,3916,1155
685,684097758874210310,4234,1485
686,684122891630342144,2061,489
687,684177701129875456,2071,692
688,684188786104872960,3588,1221
689,684195085588783105,1970,536
690,684200372118904832,2226,1066
691,684222868335505415,3941,1421
692,684225744407494656,1273,217
693,684241637099323392,8398,3414
694,684460069371654144,2041,575
695,684481074559381504,3996,1213
696,684538444857667585,2722,989
697,684567543613382656,3105,1274
698,684594889858887680,9182,3654
699,684800227459624960,2800,1041
700,684880619965411328,2165,852
701,684902183876321280,1933,553
702,684914660081053696,3612,1522
703,684926975086034944,3601,481
704,684940049151070208,3318,1080
705,684959798585110529,7007,3242
706,685169283572338688,4227,1479
707,685198997565345792,2408,692
708,685268753634967552,3198,1243
709,685307451701334016,2135,459
710,685315239903100929,3442,1109
711,685321586178670592,2729,669
712,685325112850124800,9754,4132
713,685532292383666176,3125,1205
714,685547936038666240,33910,16268
715,685641971164143616,3021,810
716,685663452032069632,3353,1516
717,685667379192414208,2416,594
718,685906723014619143,7728,3013
719,685943807276412928,1675,619
720,685973236358713344,2175,539
721,686003207160610816,1879,662
722,686007916130873345,2565,430
723,686034024800862208,3209,1197
724,686050296934563840,2266,747
725,686358356425093120,2256,701
726,686377065986265092,2277,586
727,686386521809772549,3354,909
728,686606069955735556,1957,559
729,686618349602762752,3800,1408
730,686683045143953408,2906,835
731,686730991906516992,4266,1241
732,686749460672679938,3582,1507
733,686947101016735744,8860,3304
734,687096057537363968,2313,624
735,687102708889812993,2409,1015
736,687109925361856513,5982,2555
